Time,NodeID,Alleles,VectorPopulation,VectorPopulationNumDied,VectorPopulationAvgAgeAtDeath
77,1,a0,96564,14483,6.62763
77,1,a1,0,0,0
77,1,b0,96564,14483,6.62763
77,1,b1,0,0,0
77,1,a0.b0,96564,14483,6.62763
77,1,a1.b1,0,0,0
78,1,X,96216,14325,6.62059
78,1,Y,0,0,0
78,1,a0,96216,14325,6.62059
78,1,a1,0,0,0
78,1,b0,96216,14325,6.62059
78,1,b1,0,0,0
78,1,a0.b0,96216,14325,6.62059
78,1,a1.b1,0,0,0
79,1,X,95918,14446,6.83463
79,1,Y,0,0,0
79,1,a0,95918,14446,6.83463
79,1,a1,0,0,0
79,1,b0,95918,14446,6.83463
79,1,b1,0,0,0
79,1,a0.b0,95918,14446,6.83463
79,1,a1.b1,0,0,0
80,1,X,95981,14233,6.70449
80,1,Y,0,0,0
80,1,a0,95981,14233,6.70449
80,1,a1,0,0,0
80,1,b0,95981,14233,6.70449
80,1,b1,0,0,0
80,1,a0.b0,95981,14233,6.70449
80,1,a1.b1,0,0,0
81,1,X,95660,14506,6.67972
81,1,Y,0,0,0
81,1,a0,95660,14506,6.67972
81,1,a1,0,0,0
81,1,b0,95660,14506,6.67972
81,1,b1,0,0,0
81,1,a0.b0,95660,14506,6.67972
81,1,a1.b1,0,0,0
82,1,X,95265,14493,6.89754
82,1,Y,0,0,0
82,1,a0,95265,14493,6.89754
82,1,a1,0,0,0
82,1,b0,95265,14493,6.89754
82,1,b1,0,0,0
82,1,a0.b0,95265,14493,6.89754
82,1,a1.b1,0,0,0
83,1,X,95190,14100,6.72269
83,1,Y,0,0,0
83,1,a0,95190,14100,6.72269
83,1,a1,0,0,0
83,1,b0,95190,14100,6.72269
83,1,b1,0,0,0
83,1,a0.b0,95190,14100,6.72269
83,1,a1.b1,0,0,0
84,1,X,98715,14193,6.71726
84,1,Y,0,0,0
84,1,a0,98715,14193,6.71726
84,1,a1,0,0,0
84,1,b0,98715,14193,6.71726
84,1,b1,0,0,0
84,1,a0.b0,98715,14193,6.71726
84,1,a1.b1,0,0,0
85,1,X,97304,15115,6.55025
85,1,Y,0,0,0
85,1,a0,97304,15115,6.55025
85,1,a1,0,0,0
85,1,b0,97304,15115,6.55025
85,1,b1,0,0,0
85,1,a0.b0,97304,15115,6.55025
85,1,a1.b1,0,0,0
86,1,X,97553,14486,6.67783
86,1,Y,0,0,0
86,1,a0,97553,14486,6.67783
86,1,a1,0,0,0
86,1,b0,97553,14486,6.67783
86,1,b1,0,0,0
86,1,a0.b0,97553,14486,6.67783
86,1,a1.b1,0,0,0
