Time,NodeID,NumIndividuals,NumInfected,AvgInfectiousness,AvgParasiteDensity,AvgGametocyteDensity,AvgVariantFractionPfEMP1Major,AvgNumInfections,AvgInfectionClearedDuration,NumInfectionsCleared,NumHasFever,NumHasClinicalSymptoms
218,30,7,0,0,0,0,0,0,0,0,0,0
218,29,1,0,0,0,0,0,0,0,0,0,0
218,28,3,0,0,0,0,0,0,0,0,0,0
218,27,12,0,0,0,0,0,0,0,0,0,0
218,26,0,0,0,0,0,0,0,0,0,0,0
218,25,0,0,0,0,0,0,0,0,0,0,0
218,24,1,0,0,0,0,0,0,0,0,0,0
218,23,0,0,0,0,0,0,0,0,0,0,0
218,22,3,0,0,0,0,0,0,0,0,0,0
218,21,4,0,0,0,0,0,0,0,0,0,0
218,20,7,0,0,0,0,0,0,0,0,0,0
218,19,1,0,0,0,0,0,0,0,0,0,0
218,18,4,0,0,0,0,0,0,0,0,0,0
218,17,11,0,0,0,0,0,0,0,0,0,0
218,16,0,0,0,0,0,0,0,0,0,0,0
218,15,0,0,0,0,0,0,0,0,0,0,0
218,14,3,0,0,0,0,0,0,0,0,0,0
218,13,5,0,0,0,0,0,0,0,0,0,0
218,12,1,0,0,0,0,0,0,0,0,0,0
218,11,1,0,0,0,0,0,0,0,0,0,0
218,10,6,0,0,0,0,0,0,0,0,0,0
218,9,1,0,0,0,0,0,0,0,0,0,0
218,8,3,0,0,0,0,0,0,0,0,0,0
218,7,12,0,0,0,0,0,0,0,0,0,0
218,6,0,0,0,0,0,0,0,0,0,0,0
218,5,0,0,0,0,0,0,0,0,0,0,0
218,4,4,0,0,0,0,0,0,0,0,0,0
218,3,5,0,0,0,0,0,0,0,0,0,0
218,2,1,0,0,0,0,0,0,0,0,0,0
218,1,13,0,0,0,0,0,0,0,0,0,0
219,100,184,0,0,0,0,0,0,0,0,0,0
219,99,0,0,0,0,0,0,0,0,0,0,0
219,98,0,0,0,0,0,0,0,0,0,0,0
219,97,0,0,0,0,0,0,0,0,0,0,0
219,96,4,0,0,0,0,0,0,0,0,0,0
219,95,5,0,0,0,0,0,0,0,0,0,0
219,94,3,0,0,0,0,0,0,0,0,0,0
219,93,4,0,0,0,0,0,0,0,0,0,0
219,92,1,0,0,0,0,0,0,0,0,0,0
219,91,13,0,0,0,0,0,0,0,0,0,0
219,90,0,0,0,0,0,0,0,0,0,0,0
219,89,0,0,0,0,0,0,0,0,0,0,0
219,88,0,0,0,0,0,0,0,0,0,0,0
219,87,0,0,0,0,0,0,0,0,0,0,0
219,86,5,0,0,0,0,0,0,0,0,0,0
219,85,6,0,0,0,0,0,0,0,0,0,0
219,84,4,0,0,0,0,0,0,0,0,0,0
219,83,2,0,0,0,0,0,0,0,0,0,0
219,82,1,0,0,0,0,0,0,0,0,0,0
219,81,15,0,0,0,0,0,0,0,0,0,0
219,80,0,0,0,0,0,0,0,0,0,0,0
219,79,0,0,0,0,0,0,0,0,0,0,0
219,78,0,0,0,0,0,0,0,0,0,0,0
219,77,0,0,0,0,0,0,0,0,0,0,0
219,76,2,0,0,0,0,0,0,0,0,0,0
219,75,5,5,0,26127.3,0,0.0166667,1,0,0,2,5
219,74,4,0,0,0,0,0,0,0,0,0,0
219,73,5,0,0,0,0,0,0,0,0,0,0
219,72,1,0,0,0,0,0,0,0,0,0,0
219,71,13,0,0,0,0,0,0,0,0,0,0
219,70,0,0,0,0,0,0,0,0,0,0,0
219,69,0,0,0,0,0,0,0,0,0,0,0
219,68,0,0,0,0,0,0,0,0,0,0,0
219,67,0,0,0,0,0,0,0,0,0,0,0
219,66,0,0,0,0,0,0,0,0,0,0,0
219,65,4,0,0,0,0,0,0,0,0,0,0
219,64,3,0,0,0,0,0,0,0,0,0,0
219,63,4,0,0,0,0,0,0,0,0,0,0
219,62,2,0,0,0,0,0,0,0,0,0,0
219,61,10,0,0,0,0,0,0,0,0,0,0
219,60,11,0,0,0,0,0,0,0,0,0,0
219,59,13,0,0,0,0,0,0,0,0,0,0
219,58,14,0,0,0,0,0,0,0,0,0,0
219,57,12,0,0,0,0,0,0,0,0,0,0
219,56,0,0,0,0,0,0,0,0,0,0,0
219,55,0,0,0,0,0,0,0,0,0,0,0
219,54,0,0,0,0,0,0,0,0,0,0,0
219,53,0,0,0,0,0,0,0,0,0,0,0
219,52,0,0,0,0,0,0,0,0,0,0,0
219,51,0,0,0,0,0,0,0,0,0,0,0
219,50,5,0,0,0,0,0,0,0,0,0,0
219,49,4,0,0,0,0,0,0,0,0,0,0
219,48,4,0,0,0,0,0,0,0,0,0,0
219,47,12,0,0,0,0,0,0,0,0,0,0
219,46,0,0,0,0,0,0,0,0,0,0,0
219,45,0,0,0,0,0,0,0,0,0,0,0
219,44,0,0,0,0,0,0,0,0,0,0,0
219,43,0,0,0,0,0,0,0,0,0,0,0
219,42,0,0,0,0,0,0,0,0,0,0,0
219,41,0,0,0,0,0,0,0,0,0,0,0
219,40,1,0,0,0,0,0,0,0,0,0,0
219,39,1,0,0,0,0,0,0,0,0,0,0
219,38,4,0,0,0,0,0,0,0,0,0,0
219,37,12,0,0,0,0,0,0,0,0,0,0
219,36,0,0,0,0,0,0,0,0,0,0,0
219,35,0,0,0,0,0,0,0,0,0,0,0
219,34,12,0,0,0,0,0,0,0,0,0,0
219,33,1,0,0,0,0,0,0,0,0,0,0
219,32,2,0,0,0,0,0,0,0,0,0,0
219,31,4,0,0,0,0,0,0,0,0,0,0
219,30,7,0,0,0,0,0,0,0,0,0,0
219,29,1,0,0,0,0,0,0,0,0,0,0
219,28,4,0,0,0,0,0,0,0,0,0,0
219,27,11,0,0,0,0,0,0,0,0,0,0
219,26,0,0,0,0,0,0,0,0,0,0,0
219,25,0,0,0,0,0,0,0,0,0,0,0
219,24,1,0,0,0,0,0,0,0,0,0,0
219,23,0,0,0,0,0,0,0,0,0,0,0
219,22,3,0,0,0,0,0,0,0,0,0,0
219,21,5,0,0,0,0,0,0,0,0,0,0
219,20,7,0,0,0,0,0,0,0,0,0,0
219,19,1,0,0,0,0,0,0,0,0,0,0
219,18,4,0,0,0,0,0,0,0,0,0,0
219,17,10,0,0,0,0,0,0,0,0,0,0
219,16,0,0,0,0,0,0,0,0,0,0,0
219,15,0,0,0,0,0,0,0,0,0,0,0
219,14,3,0,0,0,0,0,0,0,0,0,0
219,13,4,0,0,0,0,0,0,0,0,0,0
219,12,1,0,0,0,0,0,0,0,0,0,0
219,11,1,0,0,0,0,0,0,0,0,0,0
219,10,6,0,0,0,0,0,0,0,0,0,0
219,9,1,0,0,0,0,0,0,0,0,0,0
219,8,3,0,0,0,0,0,0,0,0,0,0
219,7,12,0,0,0,0,0,0,0,0,0,0
219,6,0,0,0,0,0,0,0,0,0,0,0
219,5,0,0,0,0,0,0,0,0,0,0,0
219,4,5,0,0,0,0,0,0,0,0,0,0
219,3,5,0,0,0,0,0,0,0,0,0,0
219,2,1,0,0,0,0,0,0,0,0,0,0
219,1,12,0,0,0,0,0,0,0,0,0,0
220,100,183,0,0,0,0,0,0,0,0,0,0
220,99,0,0,0,0,0,0,0,0,0,0,0
220,98,0,0,0,0,0,0,0,0,0,0,0
220,97,0,0,0,0,0,0,0,0,0,0,0
