Time,NodeID,Population,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_MALE,STATE_IMMATURE,STATE_LARVA,STATE_EGG,NewEggsCount,IndoorBitesCount,IndoorBitesCount-Infectious,OutdoorBitesCount,OutdoorBitesCount-Infectious,NewAdults,UnmatedAdults,DiedBeforeFeeding,DiedDuringFeedingIndoor,DiedDuringFeedingOutdoor,arabiensis_AvailableHabitat,funestus_AvailableHabitat,gambiae_AvailableHabitat,arabiensis_EggCrowdingCorrection,funestus_EggCrowdingCorrection,gambiae_EggCrowdingCorrection,NumInfectousBitesGiven,NumInfectousBitesReceived,InfectiousBitesGivenMinusReceived
87,340461476,1009,32328,579,3057,28692,42398,45303,287873,1144000,572000,9609,41,2604,12,6758,0,2796,1004,271,10452.8,3678.85,11495.4,0.0323932,0.0585806,0.0315294,53,45,8
88,340461476,1009,31272,827,3131,27314,41822,56239,263953,1731600,865800,11053,58,3198,16,3424,0,3057,1087,336,40579.8,5476.26,44624.1,0.0208157,0.0442595,0.0205746,74,72,2
89,340461476,1009,28183,722,3144,24317,38351,53886,325669,655680,327840,4888,66,1259,10,498,0,2988,482,117,106.281,3424.38,127.859,0.0512993,0.0629745,0.0522775,76,83,-7
90,340461476,1009,29692,835,3038,25819,39646,56712,280115,1686320,843160,6833,74,1786,12,5067,0,2756,647,155,23039.7,5579.07,25859,0.000393984,0.0401923,0.000425177,86,89,-3
91,340461476,1009,33131,923,3312,28896,43609,35922,307863,1965400,982700,10903,108,3036,28,7667,0,2826,1089,313,-99.3828,2697.11,-211.766,0.0314064,0.0413387,0.0316218,136,123,13
92,340461476,1009,36268,887,3546,31835,46945,22420,273917,840120,420060,8318,51,2372,14,7398,0,3176,855,230,4237.63,3914.12,4417.47,0,0.0304277,0,65,68,-3
93,340461476,1009,32994,782,3918,28294,43888,20670,257931,1185960,592980,9447,73,2673,21,1315,0,3440,879,270,8860.16,3907.5,9767.72,0.0121158,0.0402356,0.0112381,94,75,19
94,340461476,1009,34888,788,3947,30153,45883,11853,250699,1912160,956080,8207,122,2256,37,6107,0,3194,805,214,37125.5,5275.52,40906.6,0.0175143,0.0326824,0.0174262,159,139,20
95,340461476,1009,30297,882,4211,25204,41608,24947,295703,1465000,732500,9664,51,2685,15,0,0,3392,935,264,8217.38,3999.29,9310.52,0.0438297,0.0397972,0.0438648,66,73,-7
96,340461476,1009,28119,819,4193,23107,39277,26071,282648,1674760,837380,6352,95,1778,36,1549,0,2907,633,187,35868.8,5544.52,39834.8,0.012722,0.0353544,0.0131884,131,146,-15
97,340461476,1009,25687,867,4114,20706,36474,26937,331702,1435440,717720,6632,144,1740,32,1059,0,2703,632,156,2472.47,3587.9,2585.3,0.0481745,0.0421316,0.0498807,176,185,-9
98,340461476,1009,24244,985,4168,19091,34656,39571,289918,1694400,847200,7218,52,1935,13,1801,0,2360,700,184,19503.5,4470.66,21243,0.00395874,0.0287861,0.00376734,65,54,11
99,340461476,1009,25947,959,4116,20872,36058,45202,288960,1113840,556920,5448,100,1543,42,4786,0,2369,560,154,11575.5,4177.49,13421.5,0.0265108,0.0300933,0.0262207,142,147,-5
100,340461476,1009,24789,970,4229,19590,34733,43731,283128,1153760,576880,7741,170,2033,41,2314,0,2421,837,214,40097,5899.88,44932.1,0.0234626,0.0476448,0.0251904,211,211,0
101,340461476,1009,23449,1116,4115,18218,33129,43034,340403,1243600,621800,6413,61,1686,25,1814,0,2327,654,173,6080,3943.28,7069.56,0.0817173,0.0508084,0.0821489,86,89,-3
102,340461476,1009,26825,1143,4021,21661,36406,50859,300056,961000,480500,4968,114,1337,36,6248,0,2183,542,147,17208.8,4642.21,19211.3,0.0115677,0.0285496,0.0121914,150,135,15
103,340461476,1009,29444,1165,4335,23944,39305,33374,312243,1341400,670700,9374,202,2555,38,6408,0,2553,988,248,23728.3,4146.11,26310,0.0408179,0.0503712,0.0429552,240,201,39
104,340461476,1009,28096,1196,4644,22256,38052,27491,334320,1092880,546440,8658,93,2282,34,2541,0,2780,877,232,11129.7,5738.32,12362.1,0.0418578,0.0328431,0.0405844,127,118,9
105,340461476,1009,27030,1273,4461,21296,36861,32169,319575,853080,426540,5057,137,1339,54,2239,0,2651,513,141,16661.5,3321.75,18782.6,0.0245472,0.0403085,0.0248674,191,167,24
106,340461476,1009,31770,1241,4650,25879,41502,13381,327090,1617760,808880,7748,177,2083,56,8278,0,2565,768,205,35616.6,5505.21,39733.6,0.045533,0.0334315,0.0484338,233,217,16
107,340461476,1009,27202,1231,5338,20633,37479,15238,373550,1492680,746340,11302,134,3174,40,0,0,3089,1151,328,36478,5989.96,40747.7,0.0515824,0.0423477,0.0498364,174,165,9
108,340461476,1009,24874,1062,5058,18754,34740,17878,415571,865600,432800,3371,135,907,31,756,0,2626,381,77,9752.66,4359.33,11352.7,0.0581341,0.0396371,0.0570632,166,152,14
109,340461476,1009,25989,1219,4841,19929,35311,28587,380915,1327240,663620,5871,159,1363,43,4110,0,2307,558,130,55809.3,6906.88,62057,0.0273337,0.0368685,0.0290678,202,233,-31
110,340461476,1010,22423,1042,5462,15919,32132,30822,464212,1958600,979300,10280,131,2955,45,226,0,2454,1045,293,16211.8,4916.39,18540.2,0.100528,0.0537249,0.0964336,176,170,6
111,340461476,1010,21045,1083,4975,14987,30120,45604,440074,579760,289880,2480,136,605,40,1038,0,2086,263,67,34307.1,5851.48,38461.4,0.0190853,0.031776,0.0194252,176,202,-26
112,340461476,1011,20394,1060,4717,14617,29089,39595,474378,984400,492200,4747,172,1058,46,1945,0,2012,472,112,2713.28,4429.07,3072.86,0.14233,0.0732533,0.148591,218,202,16
113,340461476,1011,24192,1051,4961,18180,33249,33214,428416,1782680,891340,8225,149,2260,45,6837,0,1948,887,204,26352,5594.89,29090.4,0.00730083,0.0252628,0.00702464,194,212,-18
114,340461476,1011,22869,1133,5164,16572,31848,33542,441696,412360,206180,6320,121,1675,37,1777,0,2253,661,186,15510.9,4970.72,17261.9,0.0332357,0.0538384,0.0328378,158,177,-19
115,340461476,1011,26788,1228,4829,20731,35382,39514,414939,773280,386640,4381,192,990,34,6634,0,2188,413,114,21184.8,5541.02,23152.7,0.0975774,0.0628887,0.0990015,226,243,-17
116,340461476,1011,23614,1186,5446,16982,32712,34230,424986,1402280,701140,9861,190,2850,44,731,0,2560,1037,308,5557.06,3638.64,6546.73,0.0729304,0.0362064,0.0702107,234,247,-13
117,340461476,1011,24544,1022,5472,18050,33314,27267,396435,1083760,541880,4695,116,1263,57,3805,0,2260,491,124,17476,4807.74,19378.7,0.00893303,0.0339805,0.00972595,173,178,-5
118,340461476,1011,23800,1387,5120,17293,32470,29028,391810,710920,355460,5479,130,1377,36,2351,0,2405,554,136,29862,5935.11,32728.9,0.0374218,0.0453047,0.0379498,166,151,15
119,340461476,1011,27924,1260,5488,21176,36825,23378,411489,1702040,851020,8248,251,2261,66,7458,0,2213,882,239,23068.5,5246.9,25834.7,0.113734,0.0430205,0.105441,317,327,-10
120,340461476,1011,24098,1246,6058,16794,33328,27499,420441,794800,397400,8181,108,2248,33,0,0,2731,889,206,4106.95,4800.33,4368.94,0.0308386,0.0429511,0.0310573,141,139,2
121,340461476,1011,22571,1398,5528,15645,31490,31005,383881,924400,462200,3668,188,907,45,1229,0,2296,377,83,10139.3,4370.89,11192.2,0.0125457,0.047717,0.0119097,233,250,-17
122,340461476,1011,22604,1159,5622,15823,31506,22028,373295,1378800,689400,6300,277,1637,74,3029,0,2178,658,160,24906.7,4549.93,27459.2,0.0275105,0.0313731,0.0268707,351,360,-9
123,340461476,1011,23516,1197,5897,16422,32533,46522,360034,1397520,698760,7494,65,2047,24,4075,0,2182,763,218,16787.7,5891.17,18789.9,0.0419588,0.037319,0.0413991,89,89,0
124,340461476,1011,22717,1274,5876,15567,31543,43343,361243,595240,297620,5168,167,1315,26,2163,0,2294,551,117,5555.89,4604.54,6588.86,0.0272316,0.0508035,0.0282521,193,180,13
125,340461476,1011,22684,1284,5735,15665,31408,70802,305506,1056840,528420,5677,256,1483,65,2914,0,2209,577,161,22396.3,6286.39,24440.4,0.0235619,0.0505771,0.0245487,321,329,-8
126,340461476,1011,19648,1606,5684,12358,28432,83453,310361,1272040,636020,6994,126,1895,41,0,0,2127,726,183,10848.9,4821.3,12133.3,0.0503153,0.0566954,0.0487987,167,144,23
