Time,Node_ID,Event_Name,Individual_ID,Age,Gender,Infected,Infectiousness,RelativeBitingRate,TrueParasiteDensity,TrueGametocyteDensity,HasClinicalSymptoms
30,7,PFA_NoPartnerFound,5524,3160.48,M,1,0,1,24874.1,0,F
30,7,PFA_NoPartnerFound,5531,2327.47,F,1,0,1,26563,0,F
30,7,PFA_NoPartnerFound,5566,427.676,M,1,0,1,29934,0,F
30,7,PFA_NoPartnerFound,5573,21658.8,F,1,0,1,18149.7,0,T
30,7,PFA_NoPartnerFound,5608,3419.3,F,1,0,1,15674.5,0,F
30,7,PFA_NoPartnerFound,5615,5056.71,F,1,0,1,19100.3,0,T
30,7,PFA_NoPartnerFound,5622,1281.99,F,1,0,1,28487.3,0,F
30,7,PFA_NoPartnerFound,5636,24439,F,1,0,1,18149.7,0,T
30,7,PFA_NoPartnerFound,5657,8745.76,F,1,0,1,16531.6,0,T
30,7,PFA_NoPartnerFound,5671,9624.96,F,1,0,1,16531.4,0,T
30,7,PFA_NoPartnerFound,5692,5016.08,M,1,0,1,17301.2,0,T
30,7,PFA_NoPartnerFound,5699,33943.7,F,1,0,1,16531.6,0,T
30,7,PFA_NoPartnerFound,5706,6284.25,M,1,0,1,20256.3,0,T
30,7,PFA_NoPartnerFound,5741,4246.32,M,1,0,1,21348.4,0,T
30,7,PFA_NoPartnerFound,5755,2180.14,F,1,0,1,24106,0,F
30,7,PFA_NoPartnerFound,5783,6183.02,F,1,0,1,19410.3,0,T
30,7,PFA_NoPartnerFound,5804,20334.7,F,1,0,1,18149.8,0,T
30,7,PFA_NoPartnerFound,5811,35829.2,F,1,0,1,18149.9,0,T
30,7,PFA_NoPartnerFound,5832,5523.22,F,1,0,1,20983.7,0,T
30,7,PFA_NoPartnerFound,5839,16801,M,1,0,1,16531.6,0,T
30,7,PFA_NoPartnerFound,5846,23882,F,1,0,1,14999.9,0,T
30,7,PFA_NoPartnerFound,5867,32.6231,M,1,0,1,25211.2,0,F
30,7,PFA_NoPartnerFound,5874,10838.5,M,1,0,1,18149.7,0,T
30,7,PFA_NoPartnerFound,5909,483.69,M,1,0,1,33121.9,0,F
30,7,PFA_NoPartnerFound,5916,11283,M,1,0,1,18149.7,0,T
