Rel_ID,Rel_start_time,Rel_scheduled_end_time,Rel_type (0 = TRANSITORY; 1 = INFORMAL; 2 = MARITAL; 3 = COMMERCIAL),Is_rel_outside_PFA,Original_node_ID,Current_node_ID,A_ID,A_is_infected,A_gender,A_age,A_previous_num_coital_acts,A_total_num_active_rels,A_num_active_TRANSITORY_rels,A_num_active_INFORMAL_rels,A_num_active_MARITAL_rels,A_num_active_COMMERCIAL_rels,A_num_lifetime_rels,A_num_rels_last_6_mo,A_extra_relational_bitmask,A_is_circumcised,A_has_STI_coinfection,A_is_superspreader,B_ID,B_is_infected,B_gender,B_age,B_previous_num_coital_acts,B_total_num_active_rels,B_num_active_TRANSITORY_rels,B_num_active_INFORMAL_rels,B_num_active_MARITAL_rels,B_num_active_COMMERCIAL_rels,B_num_lifetime_rels,B_num_rels_last_6_mo,B_extra_relational_bitmask,B_is_circumcised,B_has_STI_coinfection,B_is_superspreader
118,2282,3516.61,1,F,1,1,45,0,0,44.2979,313,1,0,1,0,0,3,1,0,0,0,0,43,0,1,30.4477,241,1,0,1,0,0,3,1,0,0,0,0
119,2359,2934.36,0,F,1,1,2,0,0,53.823,250,1,1,0,0,0,4,1,0,0,0,0,69,0,1,25.817,296,1,1,0,0,0,5,1,0,0,0,0
120,2359,2560.3,0,F,1,1,28,0,0,43.3974,436,1,1,0,0,0,5,1,0,0,0,0,87,0,1,51.6767,543,1,1,0,0,0,4,1,0,0,0,0
121,2387,2879.9,1,F,1,1,38,0,0,37.4551,376,1,0,1,0,0,4,1,0,0,0,0,31,0,1,18.8165,0,1,0,1,0,0,1,1,0,0,0,0
122,2401,2808.8,1,F,1,1,21,0,0,31.7808,426,1,0,1,0,0,4,1,0,0,0,0,14,0,1,35.006,393,1,0,1,0,0,4,1,0,0,0,0
123,2408,2559.35,1,F,1,1,47,0,0,42.5202,235,1,0,1,0,0,4,1,0,0,0,0,27,0,1,19.0579,53,1,0,1,0,0,3,1,0,0,0,0
124,2422,2879.06,0,F,1,1,78,0,0,30.7356,444,1,1,0,0,0,4,1,0,0,0,0,36,0,1,29.5401,638,1,1,0,0,0,4,1,0,0,0,0
125,2436,2817.45,0,F,1,1,17,0,0,40.0241,237,1,1,0,0,0,3,1,0,0,0,0,82,0,1,28.4772,327,1,1,0,0,0,4,1,0,0,0,0
126,2457,2789.37,0,F,1,1,44,0,0,31.6731,295,1,1,0,0,0,4,1,0,0,0,0,90,0,1,40.3177,368,1,1,0,0,0,5,1,0,0,0,0
127,2471,2715.42,0,F,1,1,62,0,0,30.2938,234,1,1,0,0,0,5,1,0,0,0,0,100,0,1,19.4574,183,1,1,0,0,0,3,1,0,0,0,0
128,2520,2762.32,0,F,1,1,12,0,0,39.8778,308,1,1,0,0,0,5,1,0,0,0,0,95,0,1,20.8873,243,1,1,0,0,0,5,1,0,0,0,0
