Time,NodeID,Genome,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_IMMATURE,STATE_LARVA,STATE_EGG,AvgOocystDurationDays,AvgNumSporozoitesPerVector,NumVectorsWithSporozoites_AA,NumVectorsWithSporozoites_GG,NumVectorsWithSporozoites_Other
66,340461476,X-a2:X-a1,3089,0,0,3089,2117,23005,70050,0,0,0,0,0
66,340461476,X-a2:X-a2,3044,0,0,3044,2075,22639,70300,0,0,0,0,0
67,340461476,X-a1:X-a1,3018,0,0,3018,2156,22849,72225,0,0,0,0,0
67,340461476,X-a1:X-a2,2909,0,0,2909,2063,23307,72225,0,0,0,0,0
67,340461476,X-a2:X-a1,3077,0,0,3077,2130,23120,71675,0,0,0,0,0
67,340461476,X-a2:X-a2,3018,0,0,3018,2100,22850,70275,0,0,0,0,0
68,340461476,X-a1:X-a1,3017,0,0,3017,2218,22869,73450,0,0,0,0,0
68,340461476,X-a1:X-a2,2892,0,0,2892,2102,23390,73250,0,0,0,0,0
68,340461476,X-a2:X-a1,3107,0,0,3107,2130,23050,69450,0,0,0,0,0
68,340461476,X-a2:X-a2,3057,0,0,3057,2126,22843,69150,0,0,0,0,0
69,340461476,X-a1:X-a1,3052,0,0,3052,2185,23095,66225,0,0,0,0,0
69,340461476,X-a1:X-a2,2885,0,0,2885,2182,23445,66175,0,0,0,0,0
69,340461476,X-a2:X-a1,3086,0,0,3086,2105,23103,70625,0,0,0,0,0
69,340461476,X-a2:X-a2,3081,0,0,3081,2091,22779,72875,0,0,0,0,0
70,340461476,X-a1:X-a1,3078,0,0,3078,2178,22945,70000,0,0,0,0,0
70,340461476,X-a1:X-a2,2937,0,0,2937,2160,23258,71700,0,0,0,0,0
70,340461476,X-a2:X-a1,3129,0,0,3129,2115,23236,70750,0,0,0,0,0
70,340461476,X-a2:X-a2,3035,0,0,3035,2157,22994,70050,0,0,0,0,0
71,340461476,X-a1:X-a1,3104,0,0,3104,2135,23056,73800,0,0,0,0,0
71,340461476,X-a1:X-a2,2949,0,0,2949,2134,23474,72300,0,0,0,0,0
71,340461476,X-a2:X-a1,3110,0,0,3110,2130,23332,69400,0,0,0,0,0
71,340461476,X-a2:X-a2,3093,0,0,3093,2152,23019,70600,0,0,0,0,0
72,340461476,X-a1:X-a1,3173,0,0,3173,2112,23155,67925,0,0,0,0,0
72,340461476,X-a1:X-a2,2960,0,0,2960,2192,23400,68125,0,0,0,0,0
72,340461476,X-a2:X-a1,3107,0,0,3107,2152,23333,72075,0,0,0,0,0
72,340461476,X-a2:X-a2,3140,0,0,3140,2110,23053,72875,0,0,0,0,0
73,340461476,X-a1:X-a1,3125,0,0,3125,2102,23164,72350,0,0,0,0,0
73,340461476,X-a1:X-a2,3006,0,0,3006,2158,23254,73200,0,0,0,0,0
73,340461476,X-a2:X-a1,3079,0,0,3079,2194,23353,72900,0,0,0,0,0
