node_id,acquireTime,acquireIndividualId,acquireIndividualAgeDays,acquireIndividualHasFever,acquireInfectionIds,concurrentInfectionIds,vectorId,transmitTime,transmitIndividualId,transmitInfectionIds,transmitGametocyteDensities
2,214,63,2563.19,0,"1116","116,125,300,386,406,502,538,576,608",183427,196,41,"80,148,238,280,370,426,492,604,610","208.948,390.831,394.453,740.915,187.686,929.053,85.2365,0.0411108,0.0058806"
1,215,50,3466.07,0,"1051","77,121,145,161,173,239,281,367,413",183234,194,2,"19,37,227,251,293,321","288.736,339.805,1766.34,2108.21,261.218,38.5725"
1,215,78,7302.02,0,"1053","235,261,277,365,455,479,495,505,1045",180254,194,74,"81,165,419","978.823,2202.39,0.0682728"
1,215,82,12010.6,1,"1055","95,123,163,373,397,543,569,625,651",183090,197,14,"73,89,105,229,295,323,355,405,433,449","400.584,351.159,356.678,1650.38,981.817,102.678,40.8554,1.46424,0.183797,0.386072"
2,215,85,6049.73,0,"1118","56,166,232,264,302,324,360,388,508",184079,194,99,"66,82,208,282,428,496,522,566,582","274.472,284.664,924.263,1387.95,450.984,220.368,23.2347,2.16948,1.44809"
2,215,73,7235.09,0,"1120","138,266,362,440,510,612,1002,1038,1074",188065,197,71,"182,216,254,292,350,432,454,474,526,552","209.023,278.162,244.213,286.413,231.289,120.762,112.613,79.7172,63.6668,137.618"
2,215,65,1142.35,0,"1122","242,201,412,460,506,578,600,1040,1076",184415,194,65,"86,152,242,187,201,412,460,506,578,600","266.865,250.201,1017.35,123.415,1217.78,895.332,74.5335,355.028,6.88555,0.0482635"
2,215,11,29359.3,0,"1124","26,268,304,328,390,462,484,540,598",180160,194,2,"19,37,227,251,293,321","288.736,339.805,1766.34,2108.21,261.218,38.5725"
2,215,91,843.101,0,"1126","234,272,308,364,418,516,542,950,1096",180160,194,2,"19,37,227,251,293,321","288.736,339.805,1766.34,2108.21,261.218,38.5725"
2,215,59,7033.47,0,"1128","278,338,424,448,466,520,548,602,1048",184359,194,91,"28,128,168,234,272,308,364,418,516,542","98.6975,390.271,421.645,558.26,880.552,808.128,316.43,251.67,34.8276,8.99257"
2,215,47,3013,0,"1130","84,150,210,374,394,584,614,1054",181041,191,7,"68,114,132,178,212,147,408,458,482,504","665.231,745.05,783.155,991.603,1456.36,1252.23,52.2932,20.0847,0.627678,0.968613"
2,215,27,570.151,0,"1132","498,966,984,1022,1062,1090,1106",184173,194,63,"70,116,125,300,386,406,502,538,576,608","324.358,386.439,910.9,143.58,668.166,1276.54,27.5502,78.2181,8.70681,0.0121701"
2,215,71,232.195,0,"1134","432,454,474,526,552,1024,1064",180613,197,63,"70,116,125,300,386,406,502,538,576,608","141.658,169.255,412.347,65.9425,602.312,879.188,50.4194,1383.21,567.547,0.106384"
2,215,19,15160.9,0,"1136","94,156,184,218,256,294,1026,1110",184173,194,63,"70,116,125,300,386,406,502,538,576,608","324.358,386.439,910.9,143.58,668.166,1276.54,27.5502,78.2181,8.70681,0.0121701"
2,215,75,15733.8,0,"1138","220,320,380,476,528,572,622,626,1114",161747,181,65,"86,152,242,187,201","2832.26,129.372,4.78635,0.0706229,0.0226463"
2,215,99,31112,0,"1140","208,282,428,496,522,566,582,620,1092",161747,181,65,"86,152,242,187,201","2832.26,129.372,4.78635,0.0706229,0.0226463"
2,215,21,13533.3,0,"1142","124,224,322,354,402,436,532,556",184561,194,29,"32,76,146,174,276,312,422,446,546,592","146.162,355.679,271.056,54.8372,234.255,62.5836,945.602,64.5457,14.2915,0.027667"
2,215,87,1441.14,0,"1144","298,438,478,534,558,588,596,628,630",174191,185,93,"54,164,228,262,358,384,404","2165.49,1260.32,367.692,352.698,0.577707,3.34467,0.0578206"
2,215,101,4731.61,0,"1146","162,190,260,356,382,480,500,1010,1068",179738,191,42,"171,225,387","3313.58,625.271,0.0057802"
2,215,49,4540.37,1,"1148","716,758,850,912,986,1012,1036,1070,1094",187191,197,71,"182,216,254,292,350,432,454,474,526,552","209.023,278.162,244.213,286.413,231.289,120.762,112.613,79.7172,63.6668,137.618"
2,215,63,2564.19,0,"1150","125,386,406,502,538,576,608,1116",176540,188,24,"194,214,185,245,267,289","522.252,2738.14,759.939,0.1211,0.247434,0.414954"
1,216,18,729.812,0,"1057","189,285,375,399,469,485,573,579,1029",184572,195,98,"33,129,191,217,287,305,349,381","353.788,413.429,2185.95,1909.92,349.016,272.231,1.09541,3.11158"
1,216,38,3563.98,0,"1059","51,85,101,179,203,219,351,429",187938,198,98,"33,129,191,217,287,305,349,381","154.666,185.21,1282.87,1333.83,1576.45,487.615,121.648,21.2065"
1,216,86,8313.12,0,"1061","53,63,149,223,271,337,353,403,535",164932,186,2,"19,37,227,251,293","2059.2,1943.8,2.4251,4.91085,0.0956224"
1,216,64,11687.6,0,"1063","109,231,255,341,359,391,409,477,491",185197,195,97,"20,62,104,142,306,330,392,416,514,564","79.6714,146.585,372.363,343.065,1683.1,865.837,137.496,1046.02,3.85637,11.8935"
1,216,56,8277.25,0,"1065","143,159,197,263,279,301,309,327,1047",181104,192,42,"171,225,387","2511.87,473.989,0.0043718"
1,216,22,11168,0,"1067","55,75,107,253,273,357,407,451,531",188060,198,64,"39,109,231,255,341,359,391,409,477,491","170.12,381.59,1621.9,2050.17,264.937,4.35573,0.921474,14.4528,0.0069072,0.0018076"
2,216,11,29360.3,0,"1152","268,304,328,390,462,484,540,598,1124",178499,189,73,"24,72,138,196,266,326,362,440,510","488.115,690.376,671.797,1365.49,99.8779,26.0925,86.3482,2.5095,0.027975"
2,216,13,8242.56,0,"1154","126,140,198,270,414,486,512,562",184222,195,76,"115,153,211,233,259,325,345,363,393,453","1064.6,987.764,1596.22,1909.29,539.241,20.4358,5.21643,0.514499,0.41181,0.0069424"
2,216,91,844.101,0,"1156","272,308,364,418,516,542,950,1096,1126",181601,192,11,"26,58,268,304,328,390,462,484,540,598","295.345,476.449,525.049,423.133,118.177,636.795,2.56493,8.29331,0.207771,0.0305116"
2,216,25,257.981,0,"1158","332,442,464,544,632,926,1044,1082,1098",181643,192,37,"30,74,106,202,334,368,420,488,580,590","203.838,504.751,240.705,433.386,1852.63,424.87,313.101,42.9255,0.0440298,0.0137506"
2,216,37,8074.17,0,"1160","202,334,420,488,580,590,954,1018",188399,198,91,"28,128,168,234,272,308,364,418,516,542","32.5377,130.964,144.497,199.063,317.931,315.819,166.087,194.557,87.0569,96.5733"
2,216,35,22472.2,0,"1162","204,274,310,336,444,490,518,1100",189151,198,37,"30,74,106,202,334,368,420,488,580,590","38.7904,98.9489,46.3289,103.316,891.063,386.233,1304.92,757.073,5.61639,10.2544"
2,216,29,16302.9,0,"1164","276,312,422,446,546,592,1046,1084,1102",185813,195,11,"26,58,268,304,328,390,462,484,540,598","129.762,209.702,296.114,321.73,75.4969,871.924,66.3826,62.3815,0.792774,0.246047"
2,216,41,7713.66,0,"1166","238,280,370,426,492,604,610,618,1050",175235,186,7,"68,114,132,178,212,147,408,458,482,504","2098.63,2001.01,1414.28,901.106,1062.69,331.941,1.81324,0.241108,0.00197335,0.0100333"
2,216,43,11426.8,0,"1168","176,240,340,372,450,468,494,1030,1052",184901,195,21,"50,124,188,224,322,354,402,436,532,556","162.723,148.862,66.9607,70.8817,1155.62,1334.91,885.952,91.7182,192.763,6.29534"
2,216,47,3014,0,"1170","150,210,374,394,584,614,1054,1130",178935,195,65,"86,152,242,187,201,412,460,506,578,600","203.162,189.568,860.355,93.5065,1549.35,678.344,56.4658,268.99,81.3468,0.0366591"
2,216,61,3673.09,0,"1172","118,248,288,346,378,398,430,452,1058",182563,195,67,"42,52,100,192,230,246,344,376,524,550","81.9719,89.9512,62.5481,504.701,238.937,42.2136,58.3331,269.369,2.70178,6.03589"
2,216,27,571.151,0,"1174","498,966,984,1022,1062,1090,1106,1132",178269,192,73,"24,72,138,196,266,326,362,440,510","213.971,310.52,412.421,1518.38,98.0415,74.6325,260.787,181.343,0.100835"
2,216,71,233.195,0,"1176","432,454,474,526,552,1024,1064,1134",178713,189,41,"80,148,238,280,370,426,492","1354.8,1548.52,1478.47,831.032,91.302,21.8692,0.101548"
2,216,19,15161.9,0,"1178","94,156,184,218,256,294,1026,1110,1136",182363,192,99,"66,82,208,282,428,496,522,566,582","473.514,484.973,1427.14,1857.31,96.1314,20.9465,2.02901,0.18905,0.150729"
2,216,7,7209.66,0,"1180","114,178,408,458,482,504,1034,1066,1112",189141,198,21,"50,124,188,224,322,354,402,436,532,556","70.9725,65.6283,29.462,32.281,580.058,953.075,928.813,65.9548,312.318,252.93"
2,216,21,13534.3,0,"1182","124,224,322,354,402,436,532,556,1142",175673,186,19,"38,48,94,122,156,184,218,256,294,318","981.119,1199.73,1304.48,930.592,1633.75,513.594,265.584,36.0239,160.647,2.81205"
2,216,63,2565.19,0,"1184","125,386,406,502,538,576,608,1116,1150",185595,195,35,"64,172,204,236,274,310,336,444,490,518","220.477,486.146,455.517,94.4119,1031.59,459.99,1274.76,242.478,247.985,54.76"
1,217,50,3468.07,0,"1069","121,145,161,173,239,281,367,413,1051",168598,184,58,"21,29,57,91,111,137,151,195,257","1876.32,1864.54,1497.42,347.595,247.174,28.3518,16.9211,0.190912,0.0297048"
1,217,92,2286.26,0,"1071","169,181,221,247,317,385,445,489,521",178804,193,58,"21,29,57,91,111,137,151,195,257,297","216.98,221.57,311.869,534.051,1026.48,408.515,536.826,410.45,52.5553,6.23344"
1,217,86,8314.12,0,"1073","63,223,271,337,353,403,535,1061",167725,181,21,"50,124,188,224,322,354","3460.71,191.584,25.1279,0.85557,0.173552,0.0087544"
1,217,46,1863.99,0,"1075","135,207,291,307,319,339,389,431,1035",178804,193,58,"21,29,57,91,111,137,151,195,257,297","216.98,221.57,311.869,534.051,1026.48,408.515,536.826,410.45,52.5553,6.23344"
1,217,20,6594.09,0,"1077","119,183,237,315,347,371,417,465,1039",178582,199,86,"53,63,133,149,223,271,337,353,403","121.085,108.244,261.187,452.321,355.466,1900.67,757.59,20.6807,12.3134"
