Time,NodeID,Genome,STATE_MALE,STATE_IMMATURE,STATE_LARVA,STATE_EGG,MaleNumDied,MaleAvgAgeAtDeath
45,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
45,1,Other,22974,159950,1037538,482200,3740,13.3853
46,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
46,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
46,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
46,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
46,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
46,1,Other,19970,165483,1006486,470040,3301,13.8767
47,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
47,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
47,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
47,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
47,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
47,1,Other,17288,169079,1012371,328800,2891,14.6641
48,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
48,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
48,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
48,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
48,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
48,1,Other,128236,58319,1014602,296780,2643,15.2157
49,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
49,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
49,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
49,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
49,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
49,1,Other,118306,67938,1015505,289580,13819,3.4158
50,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
50,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
50,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
50,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
50,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
50,1,Other,119451,66418,1016255,196540,13034,4.22886
51,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
51,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
51,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
51,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
51,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
51,1,Other,119577,65914,1016430,176640,13091,4.69506
52,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
52,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
52,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
52,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
52,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
52,1,Other,119217,65445,1017927,6764960,13032,5.02977
53,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
53,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
53,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
53,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
53,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
53,1,Other,118970,64769,1018055,333140,13065,5.42204
54,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
54,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
54,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
54,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
54,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
54,1,Other,118556,64346,1018047,915280,13233,5.83745
55,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
55,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
55,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
55,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
55,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
55,1,Other,117790,63773,1020145,5001460,13489,6.17436
56,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
56,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
56,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
